flightnumber,radiocallsign,origin,destination,deptime,arrtime,gate,aircraft,route,created_at,updated_at
SU2193,AFL2193,EHAM,UUEE,2019-09-29 00:10:00,2019-09-29 04:25:00,G3,32B,ANDIK UN873 BEDUM UZ700 GITER Z700 CDA M611 KOLJA M864 TU,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1626,KLM1626,LIRQ,EHAM,2019-09-28 22:05:00,2019-09-29 00:10:00,D77,E90,LOMED DCT IBTOK DCT RESIA UP131 ARGAX UY170 ROMIR UN851 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
OR148,TFL148,LDPL,EHAM,2019-09-28 22:05:00,2019-09-29 00:15:00,D10,738,VRS P28 ABLAT DCT BARPI DCT ERKIR L608 KOGOL M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5518,TRA5518,LCPH,EHAM,2019-09-29 20:00:00,2019-09-29 23:30:00,D57,73H,GENOS UM31 MAROS UM855 EKSEN UL610 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
SQ7393,SIA7393,OMSJ,WSSS,2019-09-29 13:45:00,2019-09-30 01:15:00,,744,IVURO M428 MUNGA A777 VAXIM P307 PARAR N571 GUNIP R467 VKL A464 ARAMA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5684,TRA4T,GCRR,EHAM,2019-10-29 20:10:00,2019-09-30 00:25:00,C16,738,KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6522,TRA6522,GCLP,EHAM,2019-10-29 20:00:00,2019-09-30 00:30:00,C18,73G,KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV274,TRA274,LTAI,EHAM,2019-09-28 22:11:07,2019-09-28 22:11:07,E8,738,EKSEN UL610 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6920,TRA920E,LGIR,EHAM,2019-10-29 22:40:00,2019-09-30 00:30:00,D63,738,EPALO UM749 DIRMI UL613 VJOSA DCT PAPIZ DCT AIOSA DCT XOLTA DCT LISKO DCT BUSER DCT TULIK DCT NIVAS DCT BRENO M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6918,TRA96J,LIEO,EHAM,2019-09-29 10:10:00,2019-09-29 12:30:00,D85,73H,OKIVA UP872 AJO UM622 IRMAR UN853 IXILU UL47 EPL UM624 ROUSY UQ624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
